,cost,group,n_met,n_mutual,n_pw_mut,table,chat,room,session
224,0.11111111111111094,"(35, 10, 15, 76)",1.0,1.0,10.0,4,5,1,2
225,0.2222222222222221,"(7, 33, 42, 69)",1.0,1.0,8.0,5,5,1,2
226,1.3333333333333333,"(40, 24, 30, 45)",1.0,0.0,6.0,6,5,1,2
227,0.16666666666666652,"(49, 1, 78, 36)",1.0,1.0,9.0,7,5,1,2
228,6.388888888888888,"(11, 59, 38, 77)",4.0,0.0,5.0,8,5,1,2
229,3.1666666666666665,"(73, 79, 39, 70)",2.0,0.0,3.0,9,5,1,2
230,-0.2777777777777778,"(44, 63, 65, 64)",0.0,0.0,5.0,10,5,1,2
231,1.2777777777777777,"(17, 72, 66, 3)",1.0,0.0,7.0,11,5,1,2
232,-0.3888888888888889,"(27, 49, 29, 70)",0.0,0.0,7.0,0,6,1,2
233,0.16666666666666652,"(11, 15, 33, 65)",1.0,1.0,9.0,1,6,1,2
234,1.111111111111111,"(9, 36, 60, 75)",1.0,0.0,10.0,2,6,1,2
235,1.111111111111111,"(44, 22, 66, 45)",1.0,0.0,10.0,3,6,1,2
236,1.222222222222222,"(1, 17, 67, 77)",1.0,0.0,8.0,4,6,1,2
237,1.222222222222222,"(2, 13, 39, 42)",1.0,0.0,8.0,5,6,1,2
238,2.6111111111111107,"(10, 55, 64, 69)",4.0,3.0,19.0,6,6,1,2
239,6.499999999999999,"(59, 63, 8, 30)",4.0,0.0,3.0,7,6,1,2
240,3.0555555555555554,"(40, 72, 61, 7)",2.0,0.0,5.0,8,6,1,2
241,4.666666666666667,"(34, 73, 81, 78)",3.0,0.0,6.0,9,6,1,2
242,1.4999999999999998,"(24, 79, 58, 76)",1.0,0.0,3.0,10,6,1,2
243,1.8888888888888886,"(38, 6, 35, 3)",2.0,1.0,8.0,11,6,1,2
244,-0.05555555555555569,"(6, 10, 13, 65)",1.0,1.0,13.0,0,7,1,2
245,-1.1102230246251565e-16,"(3, 11, 44, 60)",1.0,1.0,12.0,1,7,1,2
246,0.11111111111111094,"(17, 29, 39, 59)",1.0,1.0,10.0,2,7,1,2
247,1.1666666666666665,"(2, 66, 77, 78)",1.0,0.0,9.0,3,7,1,2
248,1.222222222222222,"(42, 72, 9, 64)",1.0,0.0,8.0,4,7,1,2
249,1.833333333333333,"(76, 8, 75, 30)",2.0,1.0,9.0,5,7,1,2
250,2.8888888888888884,"(58, 70, 49, 45)",2.0,0.0,8.0,6,7,1,2
251,1.3888888888888888,"(15, 7, 79, 55)",1.0,0.0,5.0,7,7,1,2
252,4.722222222222222,"(63, 40, 35, 27)",3.0,0.0,5.0,8,7,1,2
253,3.4444444444444446,"(22, 73, 24, 33)",3.0,1.0,10.0,9,7,1,2
254,3.4444444444444446,"(36, 81, 61, 69)",3.0,1.0,10.0,10,7,1,2
255,6.333333333333333,"(34, 1, 38, 67)",4.0,0.0,6.0,11,7,1,2
256,-2.7777777777777777,"(53, 41, 12, 4)",0.0,2.0,14.0,0,0,2,2
257,-2.7222222222222223,"(18, 37, 47, 71)",0.0,2.0,13.0,1,0,2,2
258,-1.5,"(5, 28, 48, 57)",0.0,1.0,9.0,2,0,2,2
259,-0.2222222222222222,"(23, 82, 26, 32)",0.0,0.0,4.0,3,0,2,2
260,-0.2777777777777778,"(16, 52, 68, 80)",0.0,0.0,5.0,4,0,2,2
261,-2.0,"(20, 31, 43, 46, 74)",0.0,1.0,18.0,5,0,2,2
262,-1.9444444444444444,"(0, 19, 54, 56, 14)",0.0,1.0,17.0,6,0,2,2
263,-0.2777777777777779,"(51, 50, 25, 62, 21)",1.0,1.0,17.0,7,0,2,2
264,-1.4444444444444444,"(20, 62, 41, 26)",0.0,1.0,8.0,0,1,2,2
265,-0.4444444444444444,"(48, 71, 68, 4)",0.0,0.0,8.0,1,1,2,2
266,1.1666666666666665,"(14, 25, 47, 74)",1.0,0.0,9.0,2,1,2,2
267,-0.3888888888888889,"(31, 54, 50, 53)",0.0,0.0,7.0,3,1,2,2
268,1.3333333333333333,"(21, 52, 43, 28)",1.0,0.0,6.0,4,1,2,2
269,-2.111111111111111,"(0, 5, 18, 46, 16)",0.0,1.0,20.0,5,1,2,2
270,0.9999999999999999,"(57, 19, 32, 12, 51)",1.0,0.0,12.0,6,1,2,2
271,1.0555555555555554,"(37, 56, 80, 82, 23)",1.0,0.0,11.0,7,1,2,2
272,-1.5555555555555556,"(0, 20, 28, 71)",0.0,1.0,10.0,0,2,2,2
273,0.11111111111111094,"(5, 21, 41, 74)",1.0,1.0,10.0,1,2,2,2
274,0.49999999999999967,"(12, 18, 31, 56)",2.0,2.0,15.0,2,2,2,2
275,1.2777777777777777,"(32, 52, 53, 25)",1.0,0.0,7.0,3,2,2,2
276,2.9999999999999996,"(50, 19, 68, 80)",2.0,0.0,6.0,4,2,2,2
277,1.3888888888888886,"(37, 46, 48, 54, 26)",2.0,1.0,17.0,5,2,2,2
278,1.0555555555555554,"(43, 47, 57, 82, 62)",1.0,0.0,11.0,6,2,2,2
279,1.3333333333333333,"(23, 16, 4, 14, 51)",1.0,0.0,6.0,7,2,2,2
280,-0.2222222222222222,"(54, 52, 82, 74)",0.0,0.0,4.0,0,3,2,2
281,-1.1102230246251565e-16,"(25, 26, 56, 71)",1.0,1.0,12.0,1,3,2,2
282,0.2222222222222221,"(62, 4, 31, 16)",1.0,1.0,8.0,2,3,2,2
283,-1.4444444444444444,"(50, 48, 0, 47)",0.0,1.0,8.0,3,3,2,2
284,1.7777777777777775,"(53, 19, 37, 57)",2.0,1.0,10.0,4,3,2,2
